Name,Profession,Gender,Age,Birth_City,Birth_State,Nationality,Status
Taapsee Pannu,Actress,Female,37,New Delhi, Delhi,Indian,Alive
Kiran Rao,Filmmaker,Female,51,Hyderabad, Telangana,Indian,Alive
Jasprit Bumrah,Cricketer,Male,31,Ahmedabad, Gujarat,Indian,Alive
Shankar Mahadevan,Composer/Singer,Male,58,Mumbai, Maharashtra,Indian,Alive
Anand Kumar,Educator,Male,52,Patna, Bihar,Indian,Alive
Naveen Patnaik,Politician,Male,78,Cuttack, Odisha,Indian,Alive
Sidharth Malhotra,Actor,Male,40,Delhi, Delhi,Indian,Alive
Kiara Advani,Actress,Female,32,Mumbai, Maharashtra,Indian,Alive
Varun Dhawan,Actor,Male,37,Mumbai, Maharashtra,Indian,Alive
Alia Bhatt,Actress,Female,32,Mumbai, Maharashtra,Indian,Alive
Tiger Shroff,Actor,Male,35,Mumbai, Maharashtra,Indian,Alive
Shraddha Kapoor,Actress,Female,38,Mumbai, Maharashtra,Indian,Alive
Kartik Aaryan,Actor,Male,34,Gwalior, Madhya Pradesh,Indian,Alive
Janhvi Kapoor,Actress,Female,28,Mumbai, Maharashtra,Indian,Alive
Ram Charan,Actor,Male,39,Chennai, Tamil Nadu,Indian,Alive
Rakul Preet Singh,Actress,Female,34,New Delhi, Delhi,Indian,Alive
Naga Vamsi,Producer/Actor,Male,39,Hyderabad, Telangana,Indian,Alive
Pooja Hegde,Actress,Female,34,Mumbai, Maharashtra,Indian,Alive
Mahesh Babu,Actor,Male,49,Chennai, Tamil Nadu,Indian,Alive
Samantha Ruth Prabhu,Actress,Female,37,Chennai, Tamil Nadu,Indian,Alive
Ammy Virk,Actor/Singer,Male,31,Lohke, Punjab,Indian,Alive
Sargun Mehta,Actress,Female,36,Chandigarh, Punjab,Indian,Alive
Gippy Grewal,Actor/Singer,Male,42,Ludhiana, Punjab,Indian,Alive
Sonam Bajwa,Actress,Female,32,Nanital, Uttarakhand,Indian,Alive
Harrdy Sandhu,Actor/Singer,Male,38,Patiala, Punjab,Indian,Alive
Shehnaaz Gill,Actress,Female,31,Beas, Punjab,Indian,Alive
Shahid Kapoor,Actor,Male,44,Delhi, Delhi,Indian,Alive
Kriti Sanon,Actress,Female,34,New Delhi, Delhi,Indian,Alive
Ranveer Singh,Actor,Male,39,Mumbai, Maharashtra,Indian,Alive
Sara Ali Khan,Actress,Female,29,Mumbai, Maharashtra,Indian,Alive
Aditya Roy Kapur,Actor,Male,39,Mumbai, Maharashtra,Indian,Alive
Ananya Panday,Actress,Female,26,Mumbai, Maharashtra,Indian,Alive
Ishaan Khatter,Actor,Male,29,Mumbai, Maharashtra,Indian,Alive
Yami Gautam,Actress,Female,36,Bilaspur, Himachal Pradesh,Indian,Alive
Jr NTR,Actor,Male,41,Hyderabad, Telangana,Indian,Alive
Kajal Aggarwal,Actress,Female,39,Mumbai, Maharashtra,Indian,Alive
Nani,Actor,Male,41,Hyderabad, Telangana,Indian,Alive
Tamannaah Bhatia,Actress,Female,35,Mumbai, Maharashtra,Indian,Alive
Prabhas,Actor,Male,45,Chennai, Tamil Nadu,Indian,Alive
Rashmika Mandanna,Actress,Female,28,Kodagu, Karnataka,Indian,Alive
Neeru Bajwa,Actress,Female,44,Surrey, British Columbia,Indian,Alive
Binnu Dhillon,Actor,Male,49,Dhuri, Punjab,Indian,Alive
Jaswinder Bhalla,Actor,Male,64,Doraha, Punjab,Indian,Alive
Nimrat Kaur,Actress,Female,43,Pilani, Rajasthan,Indian,Alive
Gurpreet Ghuggi,Actor,Male,53,Khanna, Punjab,Indian,Alive
Tania,Actress,Female,31,Jalandhar, Punjab,Indian,Alive
Vicky Kaushal,Actor,Male,36,Mumbai, Maharashtra,Indian,Alive
Katrina Kaif,Actress,Female,41,Hong Kong,Hong Kong,Indian,Alive
Arjun Kapoor,Actor,Male,39,Mumbai, Maharashtra,Indian,Alive
Parineeti Chopra,Actress,Female,36,Ambala, Haryana,Indian,Alive
Rajkummar Rao,Actor,Male,40,Gurugram, Haryana,Indian,Alive
Bhumi Pednekar,Actress,Female,35,Mumbai, Maharashtra,Indian,Alive
John Abraham,Actor,Male,52,Kochi, Kerala,Indian,Alive
Disha Patani,Actress,Female,32,Bareilly, Uttar Pradesh,Indian,Alive
Riteish Deshmukh,Actor,Male,46,Latur, Maharashtra,Indian,Alive
Genelia D'Souza,Actress,Female,37,Mumbai, Maharashtra,Indian,Alive
Abhishek Bachchan,Actor,Male,49,Mumbai, Maharashtra,Indian,Alive
Aishwarya Rai,Actress,Female,51,Mangalore, Karnataka,Indian,Alive
Saif Ali Khan,Actor,Male,54,New Delhi, Delhi,Indian,Alive
Preity Zinta,Actress,Female,50,Shimla, Himachal Pradesh,Indian,Alive
Emraan Hashmi,Actor,Male,46,Mumbai, Maharashtra,Indian,Alive
Mouni Roy,Actress,Female,39,Cooch Behar, West Bengal,Indian,Alive
Arjun Rampal,Actor,Male,52,Jabalpur, Madhya Pradesh,Indian,Alive
Bipasha Basu,Actress,Female,46,New Delhi, Delhi,Indian,Alive
Bobby Deol,Actor,Male,56,Mumbai, Maharashtra,Indian,Alive
Esha Deol,Actress,Female,43,Mumbai, Maharashtra,Indian,Alive
Sanjay Dutt,Actor,Male,65,Mumbai, Maharashtra,Indian,Alive
Tabu,Actress,Female,54,Hyderabad, Telangana,Indian,Alive
Ajay Devgn,Actor,Male,55,New Delhi, Delhi,Indian,Alive
Kajol,Actress,Female,50,Mumbai, Maharashtra,Indian,Alive
Rani Mukerji,Actress,Female,47,Mumbai, Maharashtra,Indian,Alive
Sonakshi Sinha,Actress,Female,37,Patna, Bihar,Indian,Alive
Neil Nitin Mukesh,Actor,Male,43,Mumbai, Maharashtra,Indian,Alive
Tusshar Kapoor,Actor,Male,48,Mumbai, Maharashtra,Indian,Alive
Soha Ali Khan,Actress,Female,46,New Delhi, Delhi,Indian,Alive
Kunal Kemmu,Actor,Male,41,Srinagar, Jammu and Kashmir,Indian,Alive
Shilpa Shetty,Actress,Female,49,Mangalore, Karnataka,Indian,Alive
Karishma Kapoor,Actress,Female,50,Mumbai, Maharashtra,Indian,Alive
Imran Khan,Actor,Male,42,Madison, Wisconsin,Indian,Alive
Sushmita Sen,Actress,Female,49,Hyderabad, Telangana,Indian,Alive
Fardeen Khan,Actor,Male,51,Mumbai, Maharashtra,Indian,Alive
Twinkle Khanna,Actress,Female,50,Pune, Maharashtra,Indian,Alive
Raveena Tandon,Actress,Female,50,Mumbai, Maharashtra,Indian,Alive
Suniel Shetty,Actor,Male,63,Mangalore, Karnataka,Indian,Alive
Manisha Koirala,Actress,Female,54,Kathmandu, Nepal,Indian,Alive
Uday Chopra,Actor,Male,52,Mumbai, Maharashtra,Indian,Alive
Pawan Kalyan,Actor,Male,52,Bapatla, Andhra Pradesh,Indian,Alive
Chiranjeevi,Actor,Male,69,Mogalthuru, Andhra Pradesh,Indian,Alive
Surekha Konidala,Actress,Female,61,Andhra Pradesh,Andhra Pradesh,Indian,Alive
Rana Daggubati,Actor,Male,40,Chennai, Tamil Nadu,Indian,Alive
Naga Chaitanya,Actor,Male,38,Hyderabad, Telangana,Indian,Alive
Akhil Akkineni,Actor,Male,30,San Jose, California,Indian,Alive
Sai Dharam Tej,Actor,Male,38,Hyderabad, Telangana,Indian,Alive
Lavanya Tripathi,Actress,Female,34,Ayodhya, Uttar Pradesh,Indian,Alive
Nikhil Siddhartha,Actor,Male,39,Hyderabad, Telangana,Indian,Alive
Sreeleela,Actress,Female,23,Detroit, Michigan,Indian,Alive
Vaishnav Tej,Actor,Male,35,Hyderabad, Telangana,Indian,Alive
Keerthy Suresh,Actress,Female,32,Chennai, Tamil Nadu,Indian,Alive
Sai Pallavi,Actress,Female,32,Kotagiri, Tamil Nadu,Indian,Alive
Adivi Sesh,Actor,Male,40,Hyderabad, Telangana,Indian,Alive
Nivetha Thomas,Actress,Female,29,Kannur, Kerala,Indian,Alive
Varun Tej,Actor,Male,35,Hyderabad, Telangana,Indian,Alive
Raashi Khanna,Actress,Female,34,New Delhi, Delhi,Indian,Alive
Vijay Deverakonda,Actor,Male,35,Hyderabad, Telangana,Indian,Alive
Shalini Pandey,Actress,Female,31,Jabalpur, Madhya Pradesh,Indian,Alive
Sudheer Babu,Actor,Male,44,Vijayawada, Andhra Pradesh,Indian,Alive
Anu Emmanuel,Actress,Female,28,Chicago, Illinois,Indian,Alive
Sumanth,Actor,Male,50,Hyderabad, Telangana,Indian,Alive
Priyamani,Actress,Female,40,Bengaluru, Karnataka,Indian,Alive
Regina Cassandra,Actress,Female,34,Chennai, Tamil Nadu,Indian,Alive
Akhira Nandan,Actor,Male,19,Hyderabad, Telangana,Indian,Alive
Shriya Saran,Actress,Female,42,Dehradun, Uttarakhand,Indian,Alive
Ravi Teja,Actor,Male,57,Jaggampeta, Andhra Pradesh,Indian,Alive
Meher Ramesh,Actor,Male,48,Hyderabad, Telangana,Indian,Alive
Gopichand,Actor,Male,45,Hyderabad, Telangana,Indian,Alive
Anjali,Actress,Female,38,Razole, Andhra Pradesh,Indian,Alive
Nithiin,Actor,Male,41,Hyderabad, Telangana,Indian,Alive
Mehreen Pirzada,Actress,Female,29,Bathinda, Punjab,Indian,Alive
Bellamkonda Sreenivas,Actor,Male,32,Guntur, Andhra Pradesh,Indian,Alive
Kalyani Priyadarshan,Actress,Female,31,Chennai, Tamil Nadu,Indian,Alive
Sundeep Kishan,Actor,Male,37,Chennai, Tamil Nadu,Indian,Alive
Ileana D'Cruz,Actress,Female,37,Mumbai, Maharashtra,Indian,Alive
Catherine Tresa,Actress,Female,35,Dubai, UAE,Indian,Alive
Pranitha Subhash,Actress,Female,32,Bengaluru, Karnataka,Indian,Alive
Sharwanand,Actor,Male,41,Hyderabad, Telangana,Indian,Alive
Jimmy Shergill,Actor,Male,54,Gorakhpur, Uttar Pradesh,Indian,Alive
Yo Yo Honey Singh,Singer/Actor,Male,42,Hoshiarpur, Punjab,Indian,Alive
Parmish Verma,Actor/Singer,Male,35,Patiala, Punjab,Indian,Alive
Wamiqa Gabbi,Actress,Female,31,Chandigarh, Punjab,Indian,Alive
Ranjit Bawa,Singer/Actor,Male,36,Gurdaspur, Punjab,Indian,Alive
Mandy Takhar,Actress,Female,37,Wolverhampton, England,Indian,Alive
Karan Aujla,Singer/Actor,Male,28,Ghanauli, Punjab,Indian,Alive
Himanshi Khurana,Actress,Female,33,Kiratpur Sahib, Punjab,Indian,Alive
Jassie Gill,Actor/Singer,Male,36,Ludhiana, Punjab,Indian,Alive
Prabh Gill,Singer/Actor,Male,40,Ludhiana, Punjab,Indian,Alive
Sunanda Sharma,Singer/Actress,Female,33,Gurdaspur, Punjab,Indian,Alive
Amrinder Gill,Actor/Singer,Male,48,Amritsar, Punjab,Indian,Alive
Harrdy Sandhu,Actor/Singer,Male,38,Patiala, Punjab,Indian,Alive
Gurnaam Bhullar,Actor/Singer,Male,30,Kamalpur, Punjab,Indian,Alive
Simi Chahal,Actress,Female,31,Ambala, Haryana,Indian,Alive
Jagdeep Sidhu,Actor/Director,Male,44,Muktsar, Punjab,Indian,Alive
